Tempo;Canal A;Canal B
(ms);(V);(mV)

87,91059046;3,04620504;-0,45167392
88,07443046;3,00134277;-0,45167392
88,23827046;3,00134277;-0,45167392
88,40211046;3,00134277;-0,45167392
88,56595046;2,95648050;-0,45167392
88,72979046;3,04620504;0,00305185
88,89363045;3,04620504;0,00305185
89,05747045;3,00134277;0,00305185
89,22131045;3,00134277;0,00305185
89,38515045;3,00134277;0,00305185
89,54899045;3,00134277;-0,45167392
89,71283045;3,00134277;0,00305185
89,87667045;3,00134277;0,00305185
90,04051045;2,95648050;0,00305185
90,20435045;3,04620504;0,00305185
90,36819045;3,00134277;0,00305185
90,53203044;3,00134277;0,00305185
90,69587044;3,04620504;0,00305185
90,85971044;3,00134277;0,00305185
91,02355044;3,04620504;0,00305185
91,18739044;3,00134277;0,00305185
91,35123044;3,00134277;0,00305185
91,51507044;3,04620504;0,00305185
91,67891044;3,04620504;0,00305185
91,84275044;3,00134277;0,00305185
92,00659044;3,04620504;0,00305185
92,17043043;2,95648050;0,00305185
92,33427043;3,00134277;0,00305185
92,49811043;3,00134277;0,00305185
92,66195043;3,00134277;-0,45167392
92,82579043;3,04620504;-0,45167392
92,98963043;3,04620504;-0,45167392
93,15347043;3,04620504;-0,45167392
93,31731043;3,00134277;-0,45167392
93,48115043;3,00134277;-0,45167392
93,64499043;3,04620504;-0,45167392
93,80883042;3,00134277;-0,45167392
93,97267042;3,04620504;0,00305185
94,13651042;3,04620504;-0,45167392
94,30035042;3,04620504;-0,45167392
94,46419042;3,00134277;0,00305185
94,62803042;3,00134277;0,00305185
94,79187042;3,04620504;0,00305185
94,95571042;3,00134277;0,45625171
95,11955042;3,00134277;0,00305185
95,28339042;3,04620504;0,00305185
95,44723041;3,04620504;0,91097748
95,61107041;3,04620504;0,91097748
95,77491041;3,04620504;0,91097748
95,93875041;3,00134277;0,45625171
96,10259041;3,00134277;0,91097748
96,26643041;2,95648050;0,91097748
96,43027041;3,00134277;0,91097748
96,59411041;3,00134277;0,91097748
96,75795041;3,04620504;0,45625171
96,92179041;3,04620504;0,45625171
97,08563040;3,00134277;0,00305185
97,24947040;3,00134277;0,00305185
97,41331040;3,00134277;0,00305185
97,57715040;3,04620504;0,00305185
97,74099040;3,04620504;-0,45167392
97,90483040;3,04620504;-0,45167392
98,06867040;3,04620504;-0,90639967
98,23251040;3,04620504;-0,90639967
98,39635040;3,04620504;-0,90639967
98,56019040;3,00134277;-0,90639967
98,72403039;3,00134277;-1,36112559
98,88787039;3,00134277;-1,36112559
99,05171039;3,00134277;-0,90639967
99,21555039;3,00134277;-0,90639967
99,37939039;3,04620504;-1,36112559
99,54323039;3,04620504;-0,45167392
99,70707039;3,00134277;-0,45167392
99,87091039;3,04620504;-0,45167392
100,03475039;2,95648050;0,00305185
100,19859039;3,00134277;0,00305185
100,36243038;3,04620504;0,00305185
100,52627038;3,00134277;0,00305185
100,69011038;3,04620504;0,91097748
100,85395038;3,04620504;0,91097748
101,01779038;2,95648050;0,00305185
101,18163038;3,00134277;1,36570334
101,34547038;3,00134277;0,91097748
101,50931038;3,00134277;0,91097748
101,67315038;2,95648050;0,91097748
101,83699038;3,04620504;0,91097748
102,00083037;3,04620504;0,91097748
102,16467037;3,00134277;0,45625171
102,32851037;3,00134277;0,00305185
102,49235037;3,00134277;0,00305185
102,65619037;3,04620504;0,00305185
102,82003037;3,00134277;-0,45167392
102,98387037;3,00134277;-0,45167392
103,14771037;3,04620504;-0,90639967
103,31155037;3,04620504;-0,90639967
103,47539037;3,00134277;-1,36112559
103,63923036;3,00134277;-1,81432533
103,80307036;2,95648050;-1,81432533
103,96691036;3,04620504;-1,81432533
104,13075036;3,00134277;-1,81432533
104,29459036;3,04620504;-1,81432533
104,45843036;3,04620504;-1,81432533
104,62227036;3,04620504;-0,90639967
104,78611036;3,00134277;-0,90639967
104,94995036;3,00134277;-0,90639967
105,11379036;3,00134277;-0,45167392
105,27763035;3,00134277;0,00305185
105,44147035;3,04620504;0,00305185
105,60531035;3,04620504;0,45625171
105,76915035;3,04620504;0,45625171
105,93299035;3,00134277;0,91097748
106,09683035;3,00134277;1,36570334
106,26067035;2,95648050;1,82042897
106,42451035;3,00134277;1,82042897
106,58835035;3,00134277;1,82042897
106,75219035;3,04620504;1,82042897
106,91603035;3,04620504;1,36570334
107,07987034;3,04620504;0,91097748
107,24371034;3,00134277;0,91097748
107,40755034;3,00134277;0,45625171
107,57139034;3,00134277;0,00305185
107,73523034;3,00134277;0,00305185
107,89907034;3,04620504;-0,45167392
108,06291034;3,09091473;0,00305185
108,22675034;3,00134277;-0,90639967
108,39059034;3,00134277;-0,90639967
108,55443034;2,95648050;-2,26905107
108,71827033;2,95648050;-1,81432533
108,88211033;3,04620504;-1,81432533
109,04595033;2,95648050;-2,26905107
109,20979033;3,04620504;-1,81432533
109,37363033;3,00134277;-1,81432533
109,53747033;3,04620504;-1,36112559
109,70131033;3,00134277;-0,90639967
109,86515033;2,95648050;-0,45167392
110,02899033;3,00134277;-0,45167392
110,19283033;3,00134277;0,00305185
110,35667032;3,04620504;0,00305185
110,52051032;3,04620504;0,91097748
110,68435032;3,00134277;1,36570334
110,84819032;3,00134277;1,82042897
111,01203032;2,95648050;1,82042897
111,17587032;3,00134277;1,82042897
111,33971032;3,04620504;1,82042897
111,50355032;3,04620504;1,82042897
111,66739032;3,04620504;1,82042897
111,83123032;3,04620504;1,36570334
111,99507031;3,00134277;0,91097748
112,15891031;2,95648050;0,45625171
112,32275031;3,00134277;0,00305185
112,48659031;3,04620504;0,00305185
112,65043031;3,04620504;-0,45167392
112,81427031;3,04620504;-0,90639967
